Smile,id
C/C=C1\[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1CC(=O)OCCc1ccc(OO[C@@H]2O[C@H](COC(=O)C[C@@H]3C(C(=O)OC)=CO[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)/C3=C/C)[C@@H](O)[C@H](O)[C@H]2O)cc1,LTS0246797
CC1(C)CC2=C(C1)[C@](C)(O)C(=O)c1cocc1C2=O,LTS0043350
Cc1c(O)c(O)c(O)c2c1COC2,LTS0094724
CC1=CC(=O)O[C@H](C(C)(C)C)CCC[C@H](O)CCC[C@H](O)CCC[C@H](O)CCC[C@@H](O)C[C@@H](O)C[C@H](O)CCC[C@@H](O)CCC[C@@H](O)C[C@@H](O)CCCCC1,LTS0103964
CC(=O)OC1CC2C(OC(C)=O)C=C3CC(C)(C(OC(C)=O)CC3O)C(O)C(=O)C(=C1C)C2(C)C,LTS0257150
CC(=O)OCC1OC(OC2(COC(C)=O)OC(COC(C)=O)C(O)C2OC(=O)C=Cc2cccc(O)c2)C(OC(C)=O)C(O)C1O,LTS0251246
CC(=O)OC1CC2C(C)(C)C(=O)C=CC2(C)C2CCC3(C)C(=CCC3C3=CC(O)OC3=O)C12C,LTS0023254
CC[C@H](C)[C@@H]1N=C(O)[C@@H](CC(C)C)N=C(O)[C@@H]2CCCN2C(=O)C(N=C(O)[C@H](Cc2ccccc2)N(C)C(C)=O)COC(=O)[C@@H]2C[C@H](C)CN2C(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H]2C[C@@H](O)CN2C(=O)C(CO)N=C(O)[C@H](Cc2ccc(O)cc2)N=C1O,LTS0245583
COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)CC(C)(O)C(C)C2,LTS0047827
CCC(C)/C=C(/C)C1=Cc2cc3cc(OC)c(=O)oc3c(O)c2CO1,LTS0116102
COC(=O)C(Cc1ccc(O)c(O)c1)OC(=O)C=Cc1ccc(O)c(O)c1,LTS0047172
COC1CCC(=O)C2(C)C3CCC4(C)C(O)(CCC4(O)C(C)(O)C4CC(C)=C(C)C(=O)O4)C3CC3OC132,LTS0047233
C=C(C(=O)O[C@@H]1[C@@H](O)C(=C)[C@H](OC(C)=O)[C@H]2[C@@H](OC(=O)/C(C)=C\C)[C@@H](C)C[C@]2(O)C(=O)[C@](C)(O)/C=C/C(C)(C)[C@@H]1OC(C)=O)[C@H](C)OO,LTS0038197
COc1c(C=O)c(O)cc2c1CO[C@@H](C)C2,LTS0230931
C=C1C2CC3(C1O)C1CC4C5(C)CCC(O)C4(C1N(CC)C5)C3CC2O,LTS0042412
CC(=O)/C=C/[C@@]1(O)[C@H](C)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CC1(C)C,LTS0104200
C=C1C(OC(=O)/C=C/c2ccccc2)CC[C@]2(C)C1C(OC(C)=O)[C@@H]1CC(=O)C(C)=C([C@@H](OC(C)=O)C2OC(C)=O)C1(C)C,LTS0126573
CC1=CC[C@H]2[C@](C)(C(=O)O)CCC[C@]2(C)[C@H]1CC[C@@H](C)CC(=O)O,LTS0246740
CC1=CC2Cc3ccoc3C(C)(C)C2CC1,LTS0023223
CC1(C)CCC(=O)C(C)(O)C12CC=C(C=O)CC2,LTS0034841
CCN1C[C@H]2[C@@H](O)C[C@@H](OC)[C@]34[C@H]2C[C@H]([C@H]13)[C@@]1(O)C[C@@H](OC)[C@H]2C[C@@H]4[C@@H]1[C@@H]2O,LTS0116554
CCC(=O)OCC1(C)C(OC(C)=O)CCC2(C)C1CC(OC(C)=O)C1(C)Oc3cc(-c4cccnc4)oc(=O)c3C(O)C21,LTS0127338
O=C(O)c1ccccc1O,LTS0116548
CC1=C(CO)C(=O)O[C@@H]([C@](C)(O)[C@H]2CC[C@H]3[C@@H]4[C@@H](O)CC5=CC=CC(=O)[C@]5(C)[C@H]4CC[C@@]32CO)C1,LTS0255561
C=C1C(=O)[C@@]23C(=O)[C@@H](OC(C)=O)[C@@H]4C(C)(C)CC[C@H](O)[C@@]4(C)[C@@H]2CC[C@@H]1[C@H]3O,LTS0092759
C=CC1(C)CCC2C(C)(CCC3C(C)(C)CC(=O)CC32C)O1,LTS0251196
CC(C)=CC[C@H]1C[C@]2(C(=O)c3ccccc3)C(=O)[C@@](CC=C(C)C)(C(=O)C3=C2O[C@H](C(C)(C)O)C3)C1(C)C,LTS0040142
C=C1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,LTS0040341
C=C1C(=O)OC2C=C(C)CCC=C(COC(C)=O)C(O)C(OC(=O)C(C)=CC)C12,LTS0118321
CC(C)C[C@@H]1N=C(O)[C@H](Cc2c[nH]c3ccccc23)N=C(O)CN=C(O)C(CC(=N)O)N=C(O)C(C(C)C)N=C(O)[C@@H](CC(C)C)N=C1O,LTS0255575
C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,LTS0017376
CC(C)C[C@@](O)(CC(=O)OCc1ccc(O)cc1)C(=O)OCc1ccc(O)cc1,LTS0042898
CCCCC/C=C/Cc1ccc2c(c1)OCO2,LTS0039298
COc1cc(O)c2c(c1)OC(c1ccc(O)cc1)C(C1C(=O)c3c(O)cc(O)cc3OC1c1ccc(O)cc1)C2=O,LTS0246685
CC1CCC2C13CCC1(C)OC2(C)C(NCCCCN(C)CCCN(C)C)C1C3,LTS0039032
O=C(/C=C/c1ccccc1O)OC(C(=O)O)C(O)C(=O)O,LTS0256581
C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)C[C@H](O)[C@@]2(C)CC[C@H]1C,LTS0049475
Cc1ccc(/C=C/C(O)=NCCc2ccccc2)cc1,LTS0228737
CC(O)CCCCCCCCCCCCCCCCCCCCCCCC(O)CCOC1OC(CO)C(O)C(O)C1O,LTS0251291
C=CC(C)(O)CC[C@@]1(C)C2=C([C@H](OC)[C@H](O)[C@H]1C)C(C)(C)CCC2,LTS0047847
CC12CCC3(C1)C(CC2=O)CC(OC(=O)c1ccccc1)C1C(CO)(C(=O)O)CCCC13C,LTS0128983
C=C1[C@H](OC(=O)/C(C)=C\C)[C@@H](OC(C)=O)[C@@H](OC(C)=O)C(C)(C)/C=C\[C@@](C)(O)C(=O)[C@@]2(O)C[C@H](C)[C@H](OC(=O)/C(C)=C\C)[C@@H]2[C@H]1O,LTS0254299
C=CCC1OC(=O)CCN=C(O)C(C)N(C)C(=O)C(C(C)CC)N(C)C(=O)C(C(C)CC)N=C(O)C2C(C)CCN2C1=O,LTS0118688
CC1OC(=O)C23CCC4C(CC=C5CC(N(C)C)CCC54C)C2CCC13,LTS0047268
CC1=C2C[C@@]34O[C@]3(C)C[C@@H]3O[C@@]34[C@H](C)C[C@@H]2OC1=O,LTS0022871
C[C@@H](CC[C@@]1(O)O[C@H]2C[C@H]3[C@@H]4CC=C5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2[C@@H]1C)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,LTS0118540
COc1cc(C2OCC3C(c4cc(OC)c(OC5OC(CO)C(O)C(O)C5O)c(OC)c4)OCC23)ccc1OC1OC(CO)C(O)C(O)C1O,LTS0257107
CCCCCCC[C@H](O)[C@H](C)C(=O)N1CCC[C@H]1C(O)=N[C@@H](C[C@H](C)C[C@H](O)CC(=O)CC)C(O)=N[C@@H](C)C(O)=NC(C)(C)C(O)=NC(C)(C)C(O)=N[C@H](C(O)=N[C@@H](C)C(O)=NC(C)(C)C(O)=NC(C)(C)C(O)=N[C@@H](C)CN(C)CCO)[C@@H](C)CC,LTS0040099
CC(C)[C@@H](C)CC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)C[C@@H]1CC3,LTS0118276
COc1cccc2c1C(=O)C([C@@H](C)O)=C(CC(C)=O)C2=O,LTS0267785
CCCC[C@@H]1N[C@H](C)S[C@H](C)S1,LTS0120360
CC1(C)C=Cc2cc(OC3OC(CO)C(O)C3O)ccc2O1,LTS0040308
