Name,Smile,CAS Number,Type
"2,4-Dimethyl-1-Pentene",CC(C)CC(=C)C,2213-32-3,Biofuel
"2,4-Dimethyl-2-Pentene",CC(C)C=C(C)C,625-65-0,Biofuel
"2,4-Dimethyl-3-ethylpentane",CCC(C(C)C)C(C)C,1068-87-7,Biofuel
"2,4-Dimethylhexane",CCC(C)CC(C)C,589-43-5,Biofuel
"2,4-Dimethylpentane",CC(C)CC(C)C,108-08-7,Biofuel
"2,4,4-Trimethyl-1-Pentene",CC(=C)CC(C)(C)C,107-39-1,Biofuel
"2,4,4-Trimethyl-2-Pentene",CC(=CC(C)(C)C)C,107-40-4,Biofuel
"2,5-Dimethyl-2-Hexene",CC(C)CC=C(C)C  ,3404-78-2,Biofuel
3-Ethyl-1-Pentene,CCC(CC)C=C,78-09-84,Biofuel
3-Ethyl-2-Methyl-1-Pentene,CCC(CC)C(=C)C,19780-66-6,Biofuel
3-Ethyl-2-Methyl-2-Pentene,CCC(=C(C)C)CC,19780-67-7,Biofuel
3-Ethyl-2-Pentene,CCC(=CC)CC  ,816-79-5,Biofuel
3-Ethylhexane,CCCC(CC)CC,619-99-8,Biofuel
3-Ethylpentane,CCC(CC)CC,617-78-7,Biofuel
3-Heptene,CCCC=CCC,592-78-9,Biofuel
3-Hexene,CCC=CCC,592-47-2 ,Biofuel
3-Methyl-1-Butene,CC(C)C=C  ,563-45-1,Biofuel
3-Methyl-1-Hexene,CCCC(C)C=C,3404-61-3,Biofuel
3-Methyl-1-Pentene,CCC(C)C=C,760-20-3,Biofuel
3-Methyl-2-Pentene,CCC(=CC)C,922-61-2,Biofuel
3-Methyl-3-ethylpentane,CCC(C)(CC)CC,1067-08-9,Biofuel
3-Methyl-3-Hexene,CCC=C(C)CC,3404-65-7,Biofuel
3-Methylheptane,CCCCC(C)CC,589-81-1,Biofuel
3-Methylhexane,CCCC(C)CC,589-34-4,Biofuel
3-Methylpentane,CCC(C)CC,96-14-0,Biofuel
trans-3-Octene,CCCCC=CCC,14919-01-8,Biofuel
"3,3-Dimethyl-1-Butene",CC(C)(C)C=C,558-37-2,Biofuel
"3,3-Dimethyl-1-Pentene",CCC(C)(C)C=C,3404-73-7,Biofuel
"3,3-Dimethylhexane",CCCC(C)(C)CC  ,563-16-6,Biofuel
"3,3,5-Trimethylheptane",CCC(C)CC(C)(C)CC,7154-80-5,Biofuel
"3,4-Dimethyl-2-Pentene",CC=C(C)C(C)C,24910-63-2  ,Biofuel
"3,4,4-Trimethyl-2-Pentene",CC=C(C)C(C)(C)C,598-96-9,Biofuel
4-Methyl-1-Hexene,CCC(C)CC=C,3769-23-1,Biofuel
4-Methyl-1-Pentene,CC(C)CC=C,691-37-2,Biofuel
4-Methyl-2-Pentene,CC=CC(C)C,4461-48-7,Biofuel
4-Methylheptane,CCCC(C)CCC,589-53-7,Biofuel
4-Octene,CCCC=CCCC,592-99-4  ,Biofuel
"4,4-Dimethyl-1-Pentene",CC(C)(C)CC=C,762-62-9  ,Biofuel
"4,4-Dimethyl-2-Pentene",C/C=C/C(C)(C)C,26232-98-4  ,Biofuel
5-Methyl-1-Hexene,CC(C)CCC=C,3524-73-0,Biofuel
6-Methyl-1-Heptene,CC(C)CCCC=C,11071-47-9,Biofuel
6-Methyl-2-Heptene,C/C=C/CCC(C)C,73548-72-8,Biofuel
6-Methyl-3-Heptene,CCC=CCC(C)C,3404-57-7,Biofuel
Butane,CCCC,106-97-8,Biofuel
Cycloheptane,C1CCCCCC1,291-64-5,Biofuel
Cyclohexane,C1CCCCC1,110-82-7,Biofuel
Cyclooctane,C1CCCCCCC1,292-64-8,Biofuel
Cyclopentane,C1CCCC1,287-92-3,Biofuel
Ethane,CC,74-84-0,Biofuel
Ethene,C=C,74-85-1,Biofuel
Ethylcycloheptane,CCC1CCCCCC1,13151-55-8  ,Biofuel
Ethylcyclohexane,CCC1CCCCC1  ,1678-91-7,Biofuel
Ethylcyclopentane,CCC1CCCC1  ,1640-89-7,Biofuel
Heptane,CCCCCCC,142-82-5,Biofuel
Hexane,CCCCCC,110-54-3,Biofuel
Isopropylcyclohexane,CC(C)C1CCCCC1,696-29-7,Biofuel
Methylcyclohexane,CC1CCCCC1,108-87-2,Biofuel
Methylcyclopentane,CC1CCCC1,96-37-7,Biofuel
Methylpropane,CC(C)C,75-28-5,Biofuel
n-Propylcyclohexane,CCCC1CCCCC1,1678-92-8,Biofuel
n-Propylcyclopentane,CCCC1CCCC1,2040-96-2,Biofuel
Octane,CCCCCCCC,111-65-9,Biofuel
para-Cymene,CC1=CC=C(C=C1)C(C)C,99-87-6,Biofuel
Pentane,CCCCC,109-66-0,Biofuel
Propane,CCC,74-98-6,Biofuel
Propene,CC=C,115-07-1,Biofuel
Propylcyclohexane,CCCC1CCCCC1,1678-92-8,Biofuel
Propylcyclopentane,CCCC1CCCC1,2040-96-2,Biofuel
dimethyl ether,COC,115-10-6,Biofuel
Methane,C,74-82-8  ,Biofuel
Ethane,CC,74-84-0,Biofuel
Propane,CCC,74-98-6,Biofuel
2-Methylpentane,CCCC(C)C,107-83-5  ,Biofuel
3-Methylpentane,CCC(C)CC,96-14-0  ,Not biofuel
"2,3-Dimethylbutane",CC(C)C(C)C,79-29-8  ,Not biofuel
2-Methylhexane,CCCCC(C)C,591-76-4  ,Biofuel
3-Methylhexane,CCCC(C)CC,589-34-4,Not biofuel
"2,2-Dimethylpentane",CCCC(C)(C)C,590-35-2,Biofuel
"3,3-Dimethylpentane",CCC(C)(C)CC,562-49-2  ,Biofuel
"2,3-Dimethylpentane",CCC(C)C(C)C,565-59-3  ,Not biofuel
"2,4-Dimethylpentane",CC(C)CC(C)C,108-08-7,Not biofuel
3-Ethylpentane,CCC(CC)CC,617-78-7  ,Not biofuel
"2,2,3-Trimethylbutane",CC(C)C(C)(C)C,464-06-2  ,Not biofuel
2-Methylheptane,CCCCCC(C)C,592-27-8  ,Not biofuel
3-Methylheptane,CCCCC(C)CC,589-81-1  ,Biofuel
4-Methylheptane,CCCC(C)CCC,589-53-7,Biofuel
"2,3-Dimethylhexane",CCCC(C)C(C)C,584-94-1,Not biofuel
"2,4-Dimethylhexane",CCC(C)CC(C)C,589-43-5  ,Not biofuel
"2,5-Dimethylhexane",CC(C)CCC(C)C,592-13-2,Not biofuel
"3,3-Dimethylhexane",CCCC(C)(C)CC,563-16-6,Not biofuel
"2,2-Dimethylhexane",CCCCC(C)(C)C,590-73-8,Not biofuel
"3,4-Dimethylhexane",CCC(C)C(C)CC,583-48-2,Not biofuel
3-Ethylhexane,CCCC(CC)CC,619-99-8,Not biofuel
"2,2,3-Trimethylpentane",CCC(C)C(C)(C)C,564-02-3,Not biofuel
"2,2,4-Trimethylpentane",CC(C)CC(C)(C)C,540-84-1  ,Biofuel
"2,3,3-Trimethylpentane",CCC(C)(C)C(C)C,560-21-4,Not biofuel
"2,3,4-Trimethylpentane",CC(C)C(C)C(C)C,565-75-3  ,Biofuel
3-Ethyl-2-methylpentane,CCC(CC)C(C)C,609-26-7,Not biofuel
3-Ethyl-3-methylpentane,CCC(C)(CC)CC,1067-08-9  ,Not biofuel
"2,2,3,3-Tetramethylbutane",CC(C)(C)C(C)(C)C,594-82-1  ,Not biofuel
2-Methyloctane,CCCCCCC(C)C,3221-61-2  ,Biofuel
3-Methyloctane,CCCCCC(C)CC,2216-33-3,Not biofuel
4-Methyloctane,CCCCC(C)CCC,2216-34-4  ,Biofuel
"2,2-Dimethylheptane",CCCCCC(C)(C)C,1071-26-7,Not biofuel
"2,3-Dimethylheptane",CCCCC(C)C(C)C,3074-71-3,Not biofuel
"2,5-Dimethylheptane",CCC(C)CCC(C)C,2216-30-0,Not biofuel
"2,6-Dimethylheptane",CC(C)CCCC(C)C,1072-05-5,Not biofuel
"3,3-Dimethylheptane",CCCCC(C)(C)CC,4032-86-4,Not biofuel
